time,cf231_x,cf231_y,cf231_z,cf231_ex,cf231_ey,cf231_ez,cf2_x,cf2_y,cf2_z,cf2_ex,cf2_ey,cf2_ez,separation_xy
0.021,1.7574759721755981,3.7098913192749023,-0.927400529384613,0,0,0.8,1.7985775470733643,2.3953168392181396,-0.13989898562431335,0,0,0.8,1.3152168654163405
0.108,1.744983434677124,3.7161715030670166,-0.9209479093551636,0,0,0.8,1.7985775470733643,2.3953168392181396,-0.13989898562431335,0,0,0.8,1.3219415160644856
0.117,1.744983434677124,3.7161715030670166,-0.9209479093551636,0,0,0.8,1.7831891775131226,2.398563861846924,-0.15044620633125305,0,0,0.8,1.3181614373767832
0.211,1.744983434677124,3.7161715030670166,-0.9209479093551636,0,0,0.8,1.7755802869796753,2.3919718265533447,-0.17092350125312805,0,0,0.8,1.3245531135631132
0.22,1.7195165157318115,3.71797251701355,-0.9555350542068481,0,0,0.8,1.7755802869796753,2.3919718265533447,-0.17092350125312805,0,0,0.8,1.3271853591520189
0.275,1.728722095489502,3.719712734222412,-0.9602922797203064,0,0,0.8,1.7755802869796753,2.3919718265533447,-0.17092350125312805,0,0,0.8,1.3285675022397652
0.325,1.728722095489502,3.719712734222412,-0.9602922797203064,0,0,0.8,1.788450837135315,2.3896067142486572,-0.16453416645526886,0,0,0.8,1.3314464115949298
0.408,1.7168362140655518,3.707671642303467,-0.96103835105896,0,0,0.8,1.788450837135315,2.3896067142486572,-0.16453416645526886,0,0,0.8,1.3200090184561446
0.415,1.7168362140655518,3.707671642303467,-0.96103835105896,0,0,0.8,1.7888151407241821,2.396071672439575,-0.17006990313529968,0,0,0.8,1.3135735407010487
0.488,1.7159345149993896,3.703927755355835,-0.9662408232688904,0,0,0.8,1.7888151407241821,2.396071672439575,-0.17006990313529968,0,0,0.8,1.3098851549762291
0.512,1.7159345149993896,3.703927755355835,-0.9662408232688904,0,0,0.8,1.7859348058700562,2.3935515880584717,-0.17677710950374603,0,0,0.8,1.3122445429655654
0.58,1.7200897932052612,3.7024781703948975,-0.966945230960846,0,0,0.8,1.7859348058700562,2.3935515880584717,-0.17677710950374603,0,0,0.8,1.3105816890372546
0.616,1.7200897932052612,3.7024781703948975,-0.966945230960846,0,0,0.8,1.7880868911743164,2.394442558288574,-0.19040794670581818,0,0,0.8,1.3098018048050541
0.684,1.7314540147781372,3.712476968765259,-0.9483681917190552,0,0,0.8,1.7880868911743164,2.394442558288574,-0.19040794670581818,0,0,0.8,1.3192505409851178
0.717,1.7314540147781372,3.712476968765259,-0.9483681917190552,0,0,0.8,1.7839175462722778,2.417299747467041,-0.18011125922203064,0,0,0.8,1.2962393516270865
0.795,1.7191110849380493,3.7061896324157715,-0.9612243175506592,0,0,0.8,1.7839175462722778,2.417299747467041,-0.18011125922203064,0,0,0.8,1.2905181180261733
0.807,1.7191110849380493,3.7061896324157715,-0.9612243175506592,0,0,0.8,1.7967045307159424,2.46419358253479,-0.18447047472000122,0,0,0.8,1.2444175066060619
0.886,1.733648657798767,3.70656681060791,-0.9512825012207031,0,0,0.8,1.7967045307159424,2.46419358253479,-0.18447047472000122,0,0,0.8,1.2439723794932795
0.913,1.733648657798767,3.70656681060791,-0.9512825012207031,0,0,0.8,1.8872958421707153,2.50034499168396,-0.22616009414196014,0,0,0.8,1.2159681466689949
0.995,1.7461477518081665,3.6984171867370605,-0.9618045687675476,0,0,0.8,1.8872958421707153,2.50034499168396,-0.22616009414196014,0,0,0.8,1.2063580596043402
1.006,1.7461477518081665,3.6984171867370605,-0.9618045687675476,0,0,0.8,1.9834264516830444,2.5540482997894287,-0.24170811474323273,0,0,0.8,1.16870925846768
1.095,1.7516443729400635,3.704787015914917,-0.9267250895500183,0,0,0.8,1.9834264516830444,2.5540482997894287,-0.24170811474323273,0,0,0.8,1.1738494472531622
1.112,1.7516443729400635,3.704787015914917,-0.9267250895500183,0,0,0.8,2.062188148498535,2.648686647415161,-0.3081090748310089,0,0,0.8,1.100811257611145
1.193,1.7639909982681274,3.7150909900665283,-0.9417436718940735,0,0,0.8,2.062188148498535,2.648686647415161,-0.3081090748310089,0,0,0.8,1.107311953530364
1.206,1.7639909982681274,3.7150909900665283,-0.9417436718940735,0,0,0.8,2.1373579502105713,2.7945733070373535,-0.46464091539382935,0,0,0.8,0.9933557698892133
1.311,1.7639909982681274,3.7150909900665283,-0.9417436718940735,0,0,0.8,2.183732748031616,2.990036964416504,-0.7606471180915833,0,0,0.8,0.8377866533944197
1.318,1.7736409902572632,3.728318691253662,-0.9243583083152771,0,0,0.8,2.183732748031616,2.990036964416504,-0.7606471180915833,0,0,0.8,0.8445325085371876
1.373,1.77485990524292,3.728276014328003,-0.9041802883148193,0,0,0.8,2.183732748031616,2.990036964416504,-0.7606471180915833,0,0,0.8,0.8439039615882501
1.413,1.77485990524292,3.728276014328003,-0.9041802883148193,0,0,0.8,2.2643704414367676,3.2604939937591553,-1.1564971208572388,0,0,0.8,0.6770824054812398
1.51,1.77485990524292,3.728276014328003,-0.9041802883148193,0,0,0.8,2.385416030883789,3.577124834060669,-1.5552760362625122,0,0,0.8,0.6289876484111567
1.512,1.779633641242981,3.730410099029541,-0.9004687666893005,0,0,0.8,2.385416030883789,3.577124834060669,-1.5552760362625122,0,0,0.8,0.6248749283300661
1.608,1.779633641242981,3.730410099029541,-0.9004687666893005,0,0,0.8,2.5189638137817383,3.902186870574951,-1.959030270576477,0,0,0.8,0.75902329560347
1.609,1.7630372047424316,3.7293035984039307,-0.9098784923553467,0,0,0.8,2.5189638137817383,3.902186870574951,-1.959030270576477,0,0,0.8,0.775444172104107
1.71,1.7379248142242432,3.721190929412842,-0.8742056488990784,0,0,0.8,2.5189638137817383,3.902186870574951,-1.959030270576477,0,0,0.8,0.801736521275494
1.718,1.7379248142242432,3.721190929412842,-0.8742056488990784,0,0,0.8,2.435246706008911,3.248358964920044,-2.3482463359832764,0,0,0.8,0.8425128410939898
1.771,1.716291904449463,3.7106451988220215,-0.8619565963745117,0,0,0.8,2.435246706008911,3.248358964920044,-2.3482463359832764,0,0,0.8,0.8547540984053013
1.806,1.716291904449463,3.7106451988220215,-0.8619565963745117,0,0,0.8,1.994855523109436,2.8718185424804688,-2.2290360927581787,0,0,0.8,0.8838709459135357
