time,cf231_x,cf231_y,cf231_z,cf231_ex,cf231_ey,cf231_ez,cf2_x,cf2_y,cf2_z,cf2_ex,cf2_ey,cf2_ez,separation_xy
0.03,1.0496578216552734,2.9299607276916504,-0.16228148341178894,0,0,0.6,2.345414400100708,2.941518545150757,-0.6098818182945251,0,0,0.9,1.29580812380886
0.089,1.041609525680542,2.930375099182129,-0.15239977836608887,0,0,0.6,2.345414400100708,2.941518545150757,-0.6098818182945251,0,0,0.9,1.3038524943220535
0.129,1.041609525680542,2.930375099182129,-0.15239977836608887,0,0,0.6,2.339329481124878,2.9495270252227783,-0.5898867249488831,0,0,0.9,1.297861271103162
0.187,1.033462643623352,2.92698335647583,-0.15899161994457245,0,0,0.6,2.339329481124878,2.9495270252227783,-0.5898867249488831,0,0,0.9,1.3060614129078345
0.231,1.033462643623352,2.92698335647583,-0.15899161994457245,0,0,0.6,2.343491792678833,2.9496753215789795,-0.5920392274856567,0,0,0.9,1.3102256663091554
0.288,1.040395975112915,2.9138076305389404,-0.16967256367206573,0,0,0.6,2.343491792678833,2.9496753215789795,-0.5920392274856567,0,0,0.9,1.3035893529092404
0.332,1.040395975112915,2.9138076305389404,-0.16967256367206573,0,0,0.6,2.3441898822784424,2.951651096343994,-0.5911915302276611,0,0,0.9,1.3043430071365776
0.387,1.0427693128585815,2.9098620414733887,-0.15626679360866547,0,0,0.6,2.3441898822784424,2.951651096343994,-0.5911915302276611,0,0,0.9,1.30209132691071
0.429,1.0427693128585815,2.9098620414733887,-0.15626679360866547,0,0,0.6,2.350799083709717,2.9532265663146973,-0.593335747718811,0,0,0.9,1.308748395776509
0.488,1.045993685722351,2.906569480895996,-0.17348714172840118,0,0,0.6,2.350799083709717,2.9532265663146973,-0.593335747718811,0,0,0.9,1.305639310926542
0.529,1.045993685722351,2.906569480895996,-0.17348714172840118,0,0,0.6,2.343308210372925,2.9614920616149902,-0.5669249296188354,0,0,0.9,1.2984765942219283
0.587,1.0441629886627197,2.916729688644409,-0.1698564887046814,0,0,0.6,2.343308210372925,2.9614920616149902,-0.5669249296188354,0,0,0.9,1.299916142343965
0.63,1.0441629886627197,2.916729688644409,-0.1698564887046814,0,0,0.6,2.3428797721862793,2.952885150909424,-0.5732998847961426,0,0,0.9,1.2992199587665583
0.687,1.0465927124023438,2.9178824424743652,-0.1916663944721222,0,0,0.6,2.3428797721862793,2.952885150909424,-0.5732998847961426,0,0,0.9,1.2967595501715306
0.729,1.0465927124023438,2.9178824424743652,-0.1916663944721222,0,0,0.6,2.353848934173584,2.9428839683532715,-0.589464545249939,0,0,0.9,1.307495279400997
0.788,1.048069953918457,2.9223175048828125,-0.20176587998867035,0,0,0.6,2.353848934173584,2.9428839683532715,-0.589464545249939,0,0,0.9,1.3059409346122055
0.829,1.048069953918457,2.9223175048828125,-0.20176587998867035,0,0,0.6,2.3552608489990234,2.938322067260742,-0.6002544164657593,0,0,0.9,1.3072888671592218
0.888,1.0468720197677612,2.9348888397216797,-0.20045143365859985,0,0,0.6,2.3552608489990234,2.938322067260742,-0.6002544164657593,0,0,0.9,1.3083933336380493
0.928,1.0468720197677612,2.9348888397216797,-0.20045143365859985,0,0,0.6,2.360656499862671,2.938481092453003,-0.5931724309921265,0,0,0.9,1.3137893911955363
0.987,1.0489691495895386,2.9418110847473145,-0.18834517896175385,0,0,0.6,2.360656499862671,2.938481092453003,-0.5931724309921265,0,0,0.9,1.311691577206788
1.029,1.0489691495895386,2.9418110847473145,-0.18834517896175385,0,0,0.6,2.3687589168548584,2.9415993690490723,-0.5893469452857971,0,0,0.9,1.3197897842466368
1.087,1.058153510093689,2.9456796646118164,-0.1763213723897934,0,0,0.6,2.3687589168548584,2.9415993690490723,-0.5893469452857971,0,0,0.9,1.3106117583187973
1.13,1.058153510093689,2.9456796646118164,-0.1763213723897934,0,0,0.6,2.3570759296417236,2.9339358806610107,-0.5942192673683167,0,0,0.9,1.298975507261782
1.188,1.0523977279663086,2.938304901123047,-0.16616548597812653,0,0,0.6,2.3570759296417236,2.9339358806610107,-0.5942192673683167,0,0,0.9,1.3046855169989404
