time,cf231_x,cf231_y,cf231_z,cf231_ex,cf231_ey,cf231_ez,cf2_x,cf2_y,cf2_z,cf2_ex,cf2_ey,cf2_ez,separation_xy
0.011,1.9705896377563477,2.865690231323242,-0.35458269715309143,0.0,0.0,0.5,2.0129785537719727,3.8149924278259277,-1.3254107236862183,0.0,0.0,0.5,0.9502481152234942
0.077,1.9625433683395386,2.868032693862915,-0.3537226915359497,0.0,0.0,0.5,2.0129785537719727,3.8149924278259277,-1.3254107236862183,0.0,0.0,0.5,0.9483018747618839
0.117,1.9625433683395386,2.868032693862915,-0.3537226915359497,0.0,0.0,0.5,2.024301528930664,3.8117356300354004,-1.3392475843429565,0.0,0.0,0.5,0.9457215774952844
0.179,1.961354374885559,2.8612558841705322,-0.34596410393714905,0.0,0.0,0.5,2.024301528930664,3.8117356300354004,-1.3392475843429565,0.0,0.0,0.5,0.9525618570474689
0.221,1.961354374885559,2.8612558841705322,-0.34596410393714905,0.0,0.0,0.5,2.0259549617767334,3.8089165687561035,-1.3573040962219238,0.0,0.0,0.5,0.9498599943864768
0.276,1.952195405960083,2.874190330505371,-0.32256394624710083,0.0,0.0,0.5,2.0259549617767334,3.8089165687561035,-1.3573040962219238,0.0,0.0,0.5,0.9376319174114299
0.319,1.952195405960083,2.874190330505371,-0.32256394624710083,1.2205896377563477,2.865690231323242,0.5,2.0249814987182617,3.816439151763916,-1.3378788232803345,2.7205896377563477,2.865690231323242,0.5,0.9450559012365986
0.375,1.9447277784347534,2.867588996887207,-0.31547966599464417,1.2205896377563477,2.865690231323242,0.5,2.0249814987182617,3.816439151763916,-1.3378788232803345,2.7205896377563477,2.865690231323242,0.5,0.9522380353823818
0.437,1.9447277784347534,2.867588996887207,-0.31547966599464417,1.2205896377563477,2.865690231323242,0.5,2.024867534637451,3.8028926849365234,-1.3207342624664307,2.7205896377563477,2.865690231323242,0.5,0.9387307225199785
0.479,1.9418048858642578,2.8591456413269043,-0.3131383955478668,1.2205896377563477,2.865690231323242,0.5,2.024867534637451,3.8028926849365234,-1.3207342624664307,2.7205896377563477,2.865690231323242,0.5,0.947395316614514
0.517,1.9418048858642578,2.8591456413269043,-0.3131383955478668,1.2205896377563477,2.865690231323242,0.5,2.02860426902771,3.8031842708587646,-1.3369929790496826,2.7205896377563477,2.865690231323242,0.5,0.9480206047159254
0.576,1.9424512386322021,2.8721258640289307,-0.29267823696136475,1.2205896377563477,2.865690231323242,0.5,2.02860426902771,3.8031842708587646,-1.3369929790496826,2.7205896377563477,2.865690231323242,0.5,0.9350358825065688
0.625,1.9424512386322021,2.8721258640289307,-0.29267823696136475,1.2205896377563477,2.865690231323242,0.5,2.0234694480895996,3.8118886947631836,-1.3200228214263916,2.7205896377563477,2.865690231323242,0.5,0.943248709669586
0.677,1.9406018257141113,2.857809066772461,-0.29124021530151367,1.2205896377563477,2.865690231323242,0.5,2.0234694480895996,3.8118886947631836,-1.3200228214263916,2.7205896377563477,2.865690231323242,0.5,0.9576716448684707
0.727,1.9406018257141113,2.857809066772461,-0.29124021530151367,1.2205896377563477,2.865690231323242,0.5,2.0227317810058594,3.8101859092712402,-1.3245925903320312,2.7205896377563477,2.865690231323242,0.5,0.955911596165759
0.776,1.9449800252914429,2.8625473976135254,-0.2983059883117676,1.2205896377563477,2.865690231323242,0.5,2.0227317810058594,3.8101859092712402,-1.3245925903320312,2.7205896377563477,2.865690231323242,0.5,0.9508228459042848
0.811,1.9449800252914429,2.8625473976135254,-0.2983059883117676,1.2205896377563477,2.865690231323242,0.5,2.026179075241089,3.811246871948242,-1.3215385675430298,2.7205896377563477,2.865690231323242,0.5,0.9521680410073072
0.876,1.9457054138183594,2.8549275398254395,-0.3028147518634796,1.2205896377563477,2.865690231323242,0.5,2.026179075241089,3.811246871948242,-1.3215385675430298,2.7205896377563477,2.865690231323242,0.5,0.9596992628811296
0.91,1.9457054138183594,2.8549275398254395,-0.3028147518634796,1.2205896377563477,2.865690231323242,0.5,2.025545597076416,3.815134286880493,-1.3095250129699707,2.7205896377563477,2.865690231323242,0.5,0.9635203432998849
0.978,1.948168396949768,2.852889060974121,-0.3096895217895508,1.2205896377563477,2.865690231323242,0.5,2.025545597076416,3.815134286880493,-1.3095250129699707,2.7205896377563477,2.865690231323242,0.5,0.965351286257518
1.014,1.948168396949768,2.852889060974121,-0.3096895217895508,1.2205896377563477,2.865690231323242,0.5,2.0210683345794678,3.8092691898345947,-1.3061985969543457,2.7205896377563477,2.865690231323242,0.5,0.9591544983919902
1.077,1.9541834592819214,2.8531289100646973,-0.32530874013900757,1.2205896377563477,2.865690231323242,0.5,2.0210683345794678,3.8092691898345947,-1.3061985969543457,2.7205896377563477,2.865690231323242,0.5,0.9584768234767214
1.11,1.9541834592819214,2.8531289100646973,-0.32530874013900757,1.2205896377563477,2.865690231323242,0.5,2.023969888687134,3.8106794357299805,-1.316016435623169,2.7205896377563477,2.865690231323242,0.5,0.9600901806241895
1.175,1.963990330696106,2.8558266162872314,-0.34285691380500793,1.2205896377563477,2.865690231323242,0.5,2.023969888687134,3.8106794357299805,-1.316016435623169,2.7205896377563477,2.865690231323242,0.5,0.956734787793653
1.211,1.963990330696106,2.8558266162872314,-0.34285691380500793,1.2205896377563477,2.865690231323242,0.5,2.035182237625122,3.817976236343384,-1.3355191946029663,2.7205896377563477,2.865690231323242,0.5,0.9647798603756134
1.276,1.9816477298736572,2.8498833179473877,-0.3657916486263275,1.2205896377563477,2.865690231323242,0.5,2.035182237625122,3.817976236343384,-1.3355191946029663,2.7205896377563477,2.865690231323242,0.5,0.9695719891625729
1.31,1.9816477298736572,2.8498833179473877,-0.3657916486263275,1.2205896377563477,2.865690231323242,0.5,2.0301513671875,3.820952892303467,-1.324288010597229,2.7205896377563477,2.865690231323242,0.5,0.9722801659361202
1.376,1.9894111156463623,2.8395142555236816,-0.3950915038585663,1.2205896377563477,2.865690231323242,0.5,2.0301513671875,3.820952892303467,-1.324288010597229,2.7205896377563477,2.865690231323242,0.5,0.982283851979558
1.415,1.9894111156463623,2.8395142555236816,-0.3950915038585663,1.2205896377563477,2.865690231323242,0.5,2.0283687114715576,3.8145670890808105,-1.3321754932403564,2.7205896377563477,2.865690231323242,0.5,0.9758307857924269
1.477,2.007434129714966,2.846208095550537,-0.40664541721343994,1.2205896377563477,2.865690231323242,0.5,2.0283687114715576,3.8145670890808105,-1.3321754932403564,2.7205896377563477,2.865690231323242,0.5,0.9685852554443969
1.512,2.007434129714966,2.846208095550537,-0.40664541721343994,1.2205896377563477,2.865690231323242,0.5,2.0293121337890625,3.818479537963867,-1.330802321434021,2.7205896377563477,2.865690231323242,0.5,0.9725175601472519
1.576,2.026301383972168,2.8406920433044434,-0.4260195791721344,1.2205896377563477,2.865690231323242,0.5,2.0293121337890625,3.818479537963867,-1.330802321434021,2.7205896377563477,2.865690231323242,0.5,0.9777921299165855
1.617,2.026301383972168,2.8406920433044434,-0.4260195791721344,1.2205896377563477,2.865690231323242,0.5,2.0264506340026855,3.8170440196990967,-1.3417984247207642,2.7205896377563477,2.865690231323242,0.5,0.9763519878022051
