time,cf231_x,cf231_y,cf231_z,cf231_ex,cf231_ey,cf231_ez,cf2_x,cf2_y,cf2_z,cf2_ex,cf2_ey,cf2_ez,separation_xy
0.037,2.5916810035705566,3.334944009780884,-0.49323153495788574,0,0,0.6,0.8362661600112915,3.2520484924316406,-0.1934182047843933,0,0,0.9,1.7573710307686303
0.056,2.586425542831421,3.3347971439361572,-0.49899789690971375,0,0,0.6,0.8362661600112915,3.2520484924316406,-0.1934182047843933,0,0,0.9,1.7521144952882366
0.136,2.586425542831421,3.3347971439361572,-0.49899789690971375,0,0,0.6,0.8359882235527039,3.2626051902770996,-0.19329772889614105,0,0,0.9,1.7519253656753682
0.157,2.5862135887145996,3.3366312980651855,-0.4908778667449951,0,0,0.6,0.8359882235527039,3.2626051902770996,-0.19329772889614105,0,0,0.9,1.7517901396829314
0.238,2.5862135887145996,3.3366312980651855,-0.4908778667449951,0,0,0.6,0.8225514888763428,3.265864610671997,-0.18995536863803864,0,0,0.9,1.7650812804090623
0.256,2.5885658264160156,3.343186616897583,-0.4986149072647095,0,0,0.6,0.8225514888763428,3.265864610671997,-0.18995536863803864,0,0,0.9,1.7677062349390633
0.336,2.5885658264160156,3.343186616897583,-0.4986149072647095,0,0,0.6,0.8336209654808044,3.2691667079925537,-0.1833806186914444,0,0,0.9,1.7565051698862764
0.356,2.576293706893921,3.347604751586914,-0.48709017038345337,0,0,0.6,0.8336209654808044,3.2691667079925537,-0.1833806186914444,0,0,0.9,1.7444371041534337
0.436,2.576293706893921,3.347604751586914,-0.48709017038345337,0,0,0.6,0.8313475847244263,3.271073579788208,-0.18603044748306274,0,0,0.9,1.7466235969811126
0.457,2.5872883796691895,3.3441874980926514,-0.4918150007724762,0,0,0.6,0.8313475847244263,3.271073579788208,-0.18603044748306274,0,0,0.9,1.7574622955844816
0.536,2.5872883796691895,3.3441874980926514,-0.4918150007724762,0,0,0.6,0.8332388401031494,3.274204969406128,-0.17656546831130981,0,0,0.9,1.7554450551279572
0.556,2.5846378803253174,3.340989589691162,-0.4868539869785309,0,0,0.6,0.8332388401031494,3.274204969406128,-0.17656546831130981,0,0,0.9,1.7526718984446996
0.637,2.5846378803253174,3.340989589691162,-0.4868539869785309,0,0,0.6,0.824167013168335,3.2732229232788086,-0.18924619257450104,0,0,0.9,1.7617746720807121
0.656,2.573201894760132,3.3352084159851074,-0.49716126918792725,0,0,0.6,0.824167013168335,3.2732229232788086,-0.18924619257450104,0,0,0.9,1.7501329144756046
0.737,2.573201894760132,3.3352084159851074,-0.49716126918792725,0,0,0.6,0.8166848421096802,3.2758896350860596,-0.2115081250667572,0,0,0.9,1.7575183851155523
0.757,2.574171543121338,3.3312246799468994,-0.5163789391517639,0,0,0.6,0.8166848421096802,3.2758896350860596,-0.2115081250667572,0,0,0.9,1.7583576062401503
0.837,2.574171543121338,3.3312246799468994,-0.5163789391517639,0,0,0.6,0.8346567153930664,3.287524461746216,-0.1970796436071396,0,0,0.9,1.740063661179471
0.857,2.5778591632843018,3.314690113067627,-0.5214594006538391,0,0,0.6,0.8346567153930664,3.287524461746216,-0.1970796436071396,0,0,0.9,1.743414106558081
0.936,2.5778591632843018,3.314690113067627,-0.5214594006538391,0,0,0.6,0.8409321904182434,3.295893669128418,-0.20648254454135895,0,0,0.9,1.737028674309785
0.957,2.584972620010376,3.315462827682495,-0.5199750661849976,0,0,0.6,0.8409321904182434,3.295893669128418,-0.20648254454135895,0,0,0.9,1.744150214866376
