time,cf231_x,cf231_y,cf231_z,cf231_ex,cf231_ey,cf231_ez,cf2_x,cf2_y,cf2_z,cf2_ex,cf2_ey,cf2_ez,separation_xy
0.056,1.7834711074829102,3.0196962356567383,0.14029927551746368,0,0,0.6,1.9130311012268066,3.9686203002929688,-1.3833355903625488,0,0,0.6,0.9577278697128236
0.07,1.7834711074829102,3.0196962356567383,0.14029927551746368,0,0,0.6,1.9003292322158813,3.9734690189361572,-1.3963159322738647,0,0,0.6,0.9609049606702403
0.157,1.7865383625030518,3.0199546813964844,0.1383109837770462,0,0,0.6,1.9003292322158813,3.9734690189361572,-1.3963159322738647,0,0,0.6,0.9602801434600859
0.161,1.7865383625030518,3.0199546813964844,0.1383109837770462,0,0,0.6,1.8907599449157715,3.9962961673736572,-1.366998314857483,0,0,0.6,0.9818884027631273
0.257,1.7915695905685425,3.01141619682312,0.12976311147212982,0,0,0.6,1.8907599449157715,3.9962961673736572,-1.366998314857483,0,0,0.6,0.9898622544511715
0.26,1.7915695905685425,3.01141619682312,0.12976311147212982,0,0,0.6,1.913183331489563,3.9917664527893066,-1.3946962356567383,0,0,0.6,0.9878646295691391
0.357,1.7883026599884033,3.0006909370422363,0.1477293074131012,0,0,0.6,1.913183331489563,3.9917664527893066,-1.3946962356567383,0,0,0.6,0.9989123385101928
0.36,1.7883026599884033,3.0006909370422363,0.1477293074131012,0,0,0.6,1.9033781290054321,3.9926953315734863,-1.390526294708252,0,0,0.6,0.998656638859824
0.455,1.7822550535202026,2.992136001586914,0.1685040444135666,0,0,0.6,1.9033781290054321,3.9926953315734863,-1.390526294708252,0,0,0.6,1.007863965145187
0.461,1.7822550535202026,2.992136001586914,0.1685040444135666,0,0,0.6,1.9052796363830566,3.9931511878967285,-1.3885341882705688,0,0,0.6,1.008546702543542
0.557,1.7781623601913452,2.9834647178649902,0.18554502725601196,0,0,0.6,1.9052796363830566,3.9931511878967285,-1.3885341882705688,0,0,0.6,1.0176569017461397
0.561,1.7781623601913452,2.9834647178649902,0.18554502725601196,0,0,0.6,1.898688554763794,3.983680009841919,-1.3566936254501343,0,0,0.6,1.0074508394371453
0.656,1.775787353515625,2.9793596267700195,0.19247199594974518,0,0,0.6,1.898688554763794,3.983680009841919,-1.3566936254501343,0,0,0.6,1.0118123033062651
0.659,1.775787353515625,2.9793596267700195,0.19247199594974518,0,0,0.6,1.8909845352172852,3.977212905883789,-1.3466639518737793,0,0,0.6,1.0044807401389575
0.755,1.7851053476333618,2.969568967819214,0.1911596953868866,0,0,0.6,1.8909845352172852,3.977212905883789,-1.3466639518737793,0,0,0.6,1.0131913483057962
0.76,1.7851053476333618,2.969568967819214,0.1911596953868866,0,0,0.6,1.8810288906097412,3.976569414138794,-1.3210835456848145,0,0,0.6,1.011558809454485
0.857,1.8006417751312256,2.9719765186309814,0.1875290721654892,0,0,0.6,1.8810288906097412,3.976569414138794,-1.3210835456848145,0,0,0.6,1.0078040355345512
0.861,1.8006417751312256,2.9719765186309814,0.1875290721654892,0,0,0.6,1.8829333782196045,4.0014729499816895,-1.2823803424835205,0,0,0.6,1.032780136380778
0.958,1.8084427118301392,2.974201202392578,0.1841781586408615,0,0,0.6,1.8829333782196045,4.0014729499816895,-1.2823803424835205,0,0,0.6,1.029968981462031
0.962,1.8084427118301392,2.974201202392578,0.1841781586408615,0,0,0.6,1.8870031833648682,4.007370471954346,-1.2580868005752563,0,0,0.6,1.0361517684463775
1.056,1.814015507698059,2.970043659210205,0.18059805035591125,0,0,0.6,1.8870031833648682,4.007370471954346,-1.2580868005752563,0,0,0.6,1.0398913968473635
1.061,1.814015507698059,2.970043659210205,0.18059805035591125,0,0,0.6,1.8988609313964844,4.033043384552002,-1.2030030488967896,0,0,0.6,1.066380402107663
1.158,1.8232265710830688,2.974968910217285,0.17385615408420563,0,0,0.6,1.8988609313964844,4.033043384552002,-1.2030030488967896,0,0,0.6,1.0607743161006054
1.174,1.8232265710830688,2.974968910217285,0.17385615408420563,0,0,0.6,1.923966884613037,4.04358434677124,-1.1791937351226807,0,0,0.6,1.073353418968569
